epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,7982.92,0.95222,0.69169,1.216,0.77312,0.73756,0.74717,0.4817,1.27466,0.77647,1.33222,0.0072874,0.0072874,0.0072874
139,8038.74,0.95569,0.6925,1.2134,0.79668,0.73768,0.75082,0.48262,1.27255,0.79068,1.32107,0.0072676,0.0072676,0.0072676
140,8095.59,0.95241,0.69507,1.21698,0.79327,0.73129,0.75028,0.47954,1.27758,0.78602,1.32704,0.0072478,0.0072478,0.0072478
141,8150.68,0.94837,0.68496,1.2096,0.79438,0.72075,0.75029,0.48391,1.27586,0.78547,1.32527,0.007228,0.007228,0.007228
142,8206.1,0.94525,0.68306,1.21041,0.79024,0.7312,0.74502,0.48526,1.26575,0.78557,1.31976,0.0072082,0.0072082,0.0072082
143,8263.71,0.94444,0.68227,1.20855,0.78549,0.72495,0.74795,0.48954,1.26214,0.78858,1.31934,0.0071884,0.0071884,0.0071884
144,8318.33,0.93883,0.68484,1.20836,0.77355,0.73789,0.74105,0.48678,1.26301,0.78974,1.32113,0.0071686,0.0071686,0.0071686
145,8372.33,0.94147,0.68172,1.20907,0.7846,0.74136,0.74601,0.49194,1.26195,0.79279,1.31974,0.0071488,0.0071488,0.0071488
146,8429.69,0.9385,0.68369,1.20656,0.78345,0.73879,0.74902,0.4911,1.26657,0.78814,1.32155,0.007129,0.007129,0.007129
147,8485.46,0.94314,0.67784,1.20461,0.80565,0.72688,0.75437,0.48924,1.26723,0.78414,1.3256,0.0071092,0.0071092,0.0071092
148,8540.24,0.94006,0.67723,1.20507,0.80099,0.73156,0.75345,0.49022,1.26625,0.78376,1.32664,0.0070894,0.0070894,0.0070894
149,8597.73,0.93699,0.67968,1.20181,0.78973,0.737,0.75447,0.48841,1.26766,0.78769,1.33091,0.0070696,0.0070696,0.0070696
150,8653.82,0.93341,0.67397,1.20025,0.79752,0.72925,0.74996,0.48813,1.27429,0.7895,1.33695,0.0070498,0.0070498,0.0070498
151,8708.23,0.93216,0.66999,1.19807,0.79388,0.73161,0.74884,0.48484,1.27494,0.78715,1.33628,0.00703,0.00703,0.00703
152,8765.14,0.93187,0.67146,1.20162,0.79453,0.73015,0.74492,0.48105,1.27404,0.79246,1.33752,0.0070102,0.0070102,0.0070102
153,8822.45,0.92972,0.66556,1.19744,0.78414,0.73076,0.74235,0.48541,1.27232,0.78844,1.33664,0.0069904,0.0069904,0.0069904
154,8877.04,0.92663,0.67099,1.20052,0.78301,0.74057,0.74594,0.489,1.27096,0.78401,1.33663,0.0069706,0.0069706,0.0069706
155,8932.9,0.92263,0.66745,1.20231,0.7909,0.73167,0.74135,0.48518,1.26873,0.78703,1.33531,0.0069508,0.0069508,0.0069508
156,8990.55,0.92009,0.6619,1.19529,0.79787,0.72667,0.74436,0.48116,1.27151,0.78906,1.33823,0.006931,0.006931,0.006931
157,9045.12,0.92044,0.66266,1.19163,0.77719,0.74284,0.74237,0.47822,1.27038,0.78829,1.33542,0.0069112,0.0069112,0.0069112
158,9099.83,0.9243,0.66415,1.19576,0.78241,0.74756,0.74435,0.48117,1.27172,0.78253,1.33366,0.0068914,0.0068914,0.0068914
159,9157.68,0.92394,0.66145,1.19035,0.78093,0.74854,0.74395,0.48159,1.2684,0.78346,1.33153,0.0068716,0.0068716,0.0068716
160,9214.15,0.91418,0.65247,1.18747,0.78811,0.74286,0.74643,0.48468,1.26333,0.7914,1.32601,0.0068518,0.0068518,0.0068518
161,9268.48,0.90781,0.64837,1.18652,0.77813,0.74997,0.74615,0.48354,1.25693,0.79363,1.32118,0.006832,0.006832,0.006832
162,9324.94,0.92043,0.65268,1.18764,0.79442,0.73603,0.74505,0.48435,1.25161,0.78566,1.31791,0.0068122,0.0068122,0.0068122
163,9382.06,0.91602,0.65041,1.18816,0.79042,0.73831,0.74481,0.48127,1.24971,0.78759,1.3157,0.0067924,0.0067924,0.0067924
